"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-15,10,2,3.61342400277209,0.352866248346678,2.96757105712302,3.05937598809742,3.36793482828941,3.59755346286637,3.83983470438813,4.22016077274794,4.34655015640757
"11",2020-03-16,11,3,3.09394076540475,0.268847085457076,2.59846720595602,2.67068156997083,2.90745571751064,3.08423477402472,3.27076053851978,3.55110910916276,3.64793643276044
"12",2020-03-17,12,4,2.68686469720534,0.209076004632453,2.29927679205631,2.35444305606728,2.54274388365399,2.67973591431864,2.82090278056413,3.04460047141606,3.11972276148729
"13",2020-03-18,13,5,2.45365146093671,0.171649560952978,2.132908539296,2.18209013334743,2.3343110992472,2.44684635714103,2.56657365442583,2.74795648859855,2.80593733976291
"14",2020-03-19,14,6,2.26222230512049,0.142716023521433,1.99538205624177,2.03553798226085,2.16233546240676,2.25787525816649,2.35658146067716,2.5043385056639,2.55199733096855
"15",2020-03-20,15,7,1.99449265345894,0.117091304838821,1.77313459705416,1.80718148649374,1.91367829964543,1.99069399868116,2.07182055853256,2.19307651554316,2.23228071873282
"16",2020-03-21,16,8,2.07371431656991,0.107403546814321,1.86696660019444,1.90072418407554,2.00066120259123,2.07211835714197,2.14497925518057,2.25476603760461,2.29018907765963
"17",2020-03-22,17,9,1.92545256709451,0.0946579056126538,1.7463192402262,1.7736695959646,1.86032834014119,1.92377424192266,1.98819085667875,2.08457375697964,2.11583012778486
"18",2020-03-23,18,10,1.74956209729357,0.0824249075175076,1.59261771417586,1.6164680314086,1.69332889778419,1.74797369882874,1.80433616863214,1.88644912365234,1.9166141009112
"19",2020-03-24,19,11,1.60806006454358,0.0720390925335858,1.47213253157863,1.49155734227491,1.5590461856483,1.60618189468194,1.65616247544995,1.72987979638883,1.75435705975466
"20",2020-03-25,20,12,1.5785071729782,0.0649522231307126,1.45290876489644,1.4731487274333,1.53441848245643,1.5774878883153,1.62168323850929,1.68642354292047,1.70777659588642
"21",2020-03-26,21,13,1.5888987864857,0.0614668856045838,1.47057528313663,1.48976552063453,1.54695112879583,1.58773564832632,1.62995111590852,1.69104838355968,1.71250277979264
"22",2020-03-27,22,14,1.60777667538509,0.0579981343304386,1.49544756248007,1.51294744907556,1.56853436422525,1.60696796825058,1.64675527058834,1.70486845771494,1.72277669539112
"23",2020-03-28,23,15,1.51204695225235,0.0540072555395354,1.40905574122179,1.42423309527403,1.47506956125063,1.51101523187822,1.54882638883282,1.60128081446674,1.61910171292259
"24",2020-03-29,24,16,1.45054974166666,0.0496321256810437,1.35538343834978,1.37031271440955,1.41677183509614,1.45006873822921,1.48367896708716,1.53415167663441,1.55084147195116
"25",2020-03-30,25,17,1.26116561807109,0.0432458566495259,1.17792284346383,1.19151194663519,1.23193632293232,1.26069516715841,1.29006886616603,1.33327366486076,1.34747934466448
"26",2020-03-31,26,18,1.14136828635323,0.0385033652813724,1.0678601933328,1.07931157385864,1.11496486579465,1.14092402394494,1.16702901035392,1.205810866254,1.21852942467784
"27",2020-04-01,27,19,1.07926787406266,0.0352921117811518,1.01152844548482,1.02249406454851,1.05508075432692,1.07894218178604,1.10266285306118,1.13816358315067,1.14953058098505
"28",2020-04-02,28,20,1.07064851600605,0.0348300170318691,1.00364638022072,1.01418882092267,1.04684785878653,1.07015655550259,1.09398404432339,1.12865444872782,1.14014799489375
