"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"33",2020-04-07,33,16,1.06941624516743,0.0281148507328601,1.01549601041419,1.02413197816006,1.0504683267625,1.0691900779649,1.08798061017267,1.11624345276397,1.12598604750039
"34",2020-04-08,34,17,1.03613312808766,0.0268399707644044,0.984594433204581,0.992148581468784,1.01781650225783,1.0356901740777,1.05394611783697,1.08074540782727,1.08956668726168
"35",2020-04-09,35,18,1.01344593638935,0.0266556741482811,0.961763954019105,0.970273901695671,0.995140532236875,1.01296867006243,1.0313295657576,1.05788076999339,1.06645390480851
"36",2020-04-10,36,19,0.996116742346953,0.0260526987293824,0.945738758052831,0.953654981235922,0.978236403195457,0.995817772258629,1.0136317715084,1.0401259199852,1.0482042250353
"37",2020-04-11,37,20,0.92761472880754,0.0249336079040874,0.87968401213447,0.88717886726095,0.910672093279441,0.927478896671073,0.944379909495468,0.969027585648055,0.977082222166747
"38",2020-04-12,38,21,0.877237875703441,0.0244495141518169,0.830222992298247,0.837429687046661,0.860742887757043,0.877158467931174,0.893488819795906,0.917575462902596,0.92564161899732
"39",2020-04-13,39,22,0.817930077923543,0.0240383475850147,0.77145438756811,0.779027577703015,0.801804684002079,0.81765901156639,0.834109788407,0.857762345104324,0.865622901304398
"40",2020-04-14,40,23,0.743222853939987,0.0232591271852581,0.69843079557128,0.705470773390702,0.727295173550896,0.742912260040989,0.758813290324449,0.781845963608821,0.789283119554118
"41",2020-04-15,41,24,0.780397262050922,0.0249099514824083,0.732103806582891,0.740079604994695,0.76360547365537,0.780093889238778,0.796723622978086,0.821992821654583,0.829730452752599
"42",2020-04-16,42,25,0.796603112720609,0.0260062138311003,0.746029382255397,0.754055886408116,0.77899782567132,0.796489015893685,0.81404258253344,0.839584450270107,0.848335602910409
"43",2020-04-17,43,26,0.751071506749508,0.0256677327835226,0.701323765589451,0.709126302348823,0.733689425896164,0.750882090398115,0.768034610089409,0.793828028555191,0.802648737663225
"44",2020-04-18,44,27,0.688777234716933,0.0250974858213951,0.640612220094729,0.648036368791479,0.671618616922459,0.688623713867698,0.705478662638629,0.73026774559878,0.738701999443519
"45",2020-04-19,45,28,0.649031518328244,0.0252240012575335,0.600485901599725,0.607951046906072,0.631886192686774,0.648731367664802,0.666016935096882,0.690883890580385,0.699088432542364
"46",2020-04-20,46,29,0.620610365834938,0.0258658254524983,0.57075638477023,0.578581975882896,0.602954366187295,0.620370955855453,0.637787202541415,0.663385650900568,0.671989357308927
"47",2020-04-21,47,30,0.609393149072356,0.0269765487485891,0.558339095827092,0.565712202631811,0.590693022704204,0.60928575762063,0.627522579676997,0.654334791721356,0.663014132315662
"48",2020-04-22,48,31,0.681840542894987,0.0298344238972014,0.62497208328192,0.633441038738128,0.661307463721059,0.681448570759801,0.701946253426201,0.731812689349188,0.741324380407755
"49",2020-04-23,49,32,0.765433127164628,0.0332425092070862,0.701817225174758,0.711570920391402,0.742618520933414,0.764967640489957,0.787878430293518,0.820423489866163,0.83174920166827
"50",2020-04-24,50,33,0.811633746723969,0.0351582677393126,0.745110020122246,0.75509322846618,0.787298434486661,0.81088891183607,0.83487700570436,0.870350754662715,0.882307563304657
"51",2020-04-25,51,34,0.793435753714524,0.0352260061271592,0.725808279560486,0.736106833431449,0.769672383650671,0.79280676957866,0.817091099290597,0.852275286338612,0.863686144850992
"52",2020-04-26,52,35,0.792848938659023,0.0359775745001761,0.723870572449069,0.734262225306714,0.768607338216931,0.792341729410247,0.816859826774115,0.852744310688423,0.86469595164706
"53",2020-04-27,53,36,0.817816044912305,0.0373993064828754,0.745806660741688,0.756625343305297,0.792181701046756,0.817521282339464,0.842846687138669,0.880171208035041,0.892401430046493
"54",2020-04-28,54,37,0.786542886471042,0.0377908696419384,0.714866127339377,0.725810420737009,0.76071816077006,0.78590886970126,0.812078310710231,0.84941192768613,0.861602547385795
"55",2020-04-29,55,38,0.818442034874586,0.0390711692633681,0.744180612533513,0.755559077179612,0.791526972296357,0.817371650132342,0.844648166999394,0.883860297160635,0.89601894755994
"56",2020-04-30,56,39,0.899960719620762,0.0420373067054086,0.819425473974354,0.831971648281704,0.871289054576469,0.899425784626389,0.927677220546603,0.970610721479667,0.983521728705599
"57",2020-05-01,57,40,0.969980934830534,0.04426288702987,0.884757002687086,0.898047724097179,0.939623529605424,0.969461754200155,0.99929873278447,1.04386586302469,1.05768505444146
"58",2020-05-02,58,41,0.974632818474814,0.0448302567214473,0.888982970819321,0.902379779129348,0.943905455425541,0.973752110964664,1.00477721924948,1.04935590336689,1.06504861510729
