"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-12,7,2,3.71788588710255,0.589011273900039,2.6577229691235,2.80361387070909,3.3121027473796,3.68470044527161,4.09650542651645,4.73780670183439,4.96591120391968
"8",2020-03-13,8,3,2.48108499747462,0.395325544271081,1.77187607118022,1.86856847076006,2.20308674313578,2.45773310686238,2.73538831320736,3.1670187382834,3.31890021496739
"9",2020-03-14,9,4,3.51880138336249,0.40511144489395,2.77740273779558,2.88106232173842,3.23709183113713,3.50208864319459,3.78144417875418,4.20725197709523,4.35434205793968
"10",2020-03-15,10,5,3.32828829853249,0.348497627763602,2.68674077638093,2.77658893161001,3.08719001011246,3.31417769332961,3.55879731103521,3.92634447654581,4.04980389744429
"11",2020-03-16,11,6,2.82317654264027,0.281253232350913,2.30967090094796,2.38175940467486,2.6243361142666,2.81176836884681,3.00636056420279,3.30259262464879,3.40513601802588
"12",2020-03-17,12,7,2.6133881176584,0.232362365743115,2.18344979980574,2.24456710638838,2.45198054402809,2.6062541836303,2.76348551419567,3.01107609987412,3.08667815280597
"13",2020-03-18,13,8,2.20436493013248,0.181270090258547,1.86569416056468,1.91709826100873,2.0805358645212,2.19813217191817,2.32346578883668,2.51288029246409,2.57719079740173
"14",2020-03-19,14,9,2.01303163660427,0.15226599491791,1.7297105795621,1.77121857740158,1.90692206252724,2.00891892521059,2.11366837409985,2.27203735027463,2.32324801870669
"15",2020-03-20,15,10,1.78365128005319,0.128028701463977,1.54141442012497,1.57813832864306,1.69573406609826,1.78038902827756,1.86802132044483,1.99999034255117,2.04357298592602
"16",2020-03-21,16,11,1.71850982981966,0.114349430565269,1.50333180998965,1.5357360434469,1.638662974901,1.71578334682031,1.79580731745691,1.91138845652463,1.94612200381439
"17",2020-03-22,17,12,1.49754534773381,0.0976152173460396,1.31304701186665,1.34098330198788,1.43077742593548,1.4944986288347,1.56167939381261,1.6627437065874,1.69513916887419
"18",2020-03-23,18,13,1.23076630037055,0.0815520164684709,1.07645295401744,1.09977186839962,1.17433654259581,1.22911801739733,1.28462854941902,1.36756885459292,1.39581222091001
"19",2020-03-24,19,14,1.29483246680909,0.0794485748654111,1.14540782397701,1.16716846091093,1.23995398087227,1.29333449507238,1.34800266202187,1.4286446668374,1.45539435492416
"20",2020-03-25,20,15,1.28148818297574,0.0764538724839527,1.13636245516825,1.15846419091968,1.22955770293428,1.27947336355441,1.33179486621255,1.41088676167021,1.4374887214683
"21",2020-03-26,21,16,1.08096311882449,0.0677221971918126,0.951233748069378,0.972907216162278,1.03474142289427,1.079290233233,1.12545478624037,1.19547729723012,1.21912343207344
"22",2020-03-27,22,17,0.954691465393852,0.0622775949439268,0.835760755391527,0.854201387387412,0.912127336930113,0.953318489987707,0.995376959158672,1.05994515400691,1.08091954034695
"23",2020-03-28,23,18,0.947170400910394,0.0610612058144677,0.832124465120378,0.849387803361433,0.905263615463257,0.945219043359338,0.987460956090541,1.05045737606845,1.07133823818384
"24",2020-03-29,24,19,0.920626804068527,0.0605463585452424,0.805113044832199,0.823835965815574,0.878888582772533,0.919626461003881,0.960725389573463,1.02151164415503,1.04214370911981
"25",2020-03-30,25,20,0.726321468165271,0.0539604275444651,0.625587581999634,0.639921504776367,0.689521644761806,0.724750277221198,0.761491552306078,0.818172721047462,0.837535507394085
"26",2020-03-31,26,21,0.668508643079561,0.0531308094644153,0.568576717000896,0.583877526285769,0.631785504249936,0.666857972291035,0.703605305252187,0.757977940774405,0.776083103135222
